t_mac,sample_idx,voltage_V,current_A,power_W,dp_V,dn_V,temp_C,energy_J,charge_C
1789866044.992,0,5.23255,0.45793,2.39614,1.551,1.548,947.3,0.00002,0.00000
1789866044.992,1,5.23255,0.45444,2.37788,1.552,1.549,947.3,0.00003,0.00001
1789866044.992,2,5.23255,0.45569,2.38442,1.552,1.549,947.3,0.00005,0.00001
1789866044.992,3,5.20421,0.54737,2.84863,1.551,1.548,998.5,0.00007,0.00001
1789866044.992,4,5.21554,0.54513,2.84315,1.551,1.548,998.5,0.00018,0.00004
1789866044.992,5,5.21554,0.54189,2.82625,1.551,1.548,998.5,0.00030,0.00006
1789866044.992,6,5.20421,0.53890,2.80455,1.551,1.548,998.5,0.00041,0.00008
1789866044.992,7,5.21554,0.54364,2.83538,1.551,1.548,998.5,0.00052,0.00010
1789866044.992,8,5.20421,0.53940,2.80715,1.551,1.548,998.5,0.00056,0.00011
1789866044.992,9,5.21554,0.54090,2.82109,1.551,1.548,998.5,0.00060,0.00011
1789866044.992,10,5.21429,0.55485,2.89315,1.551,1.548,998.5,0.00063,0.00012
1789866044.992,11,5.20624,0.54887,2.85755,1.551,1.548,998.5,0.00067,0.00013
1789866045.001,12,5.20624,0.55410,2.88478,1.552,1.548,998.5,0.02538,0.00488
1789866045.009,13,5.20624,0.55360,2.88217,1.552,1.548,998.5,0.05008,0.00962
1789866045.018,14,5.20624,0.54538,2.83938,1.552,1.548,998.5,0.07440,0.01429
1789866045.027,15,5.20624,0.55086,2.86791,1.552,1.548,998.5,0.09897,0.01901
1789866045.037,16,5.20624,0.54065,2.81475,1.552,1.548,998.5,0.12712,0.02442
1789866045.047,17,5.20624,0.54015,2.81215,1.551,1.548,998.5,0.15525,0.02982
1789866045.057,18,5.20624,0.54488,2.83678,1.552,1.548,998.5,0.18363,0.03527
1789866045.067,19,5.20624,0.53965,2.80955,1.551,1.548,998.5,0.21173,0.04067
1789866045.077,20,5.20624,0.54040,2.81345,1.551,1.548,998.5,0.23994,0.04609
1789866045.087,21,5.20803,0.54887,2.85853,1.551,1.548,998.5,0.26860,0.05159
1789866045.097,22,5.20803,0.54812,2.85463,1.551,1.548,998.5,0.29721,0.05708
1789866045.107,23,5.20803,0.54638,2.84556,1.551,1.548,998.5,0.32574,0.06256
1789866045.117,24,5.20803,0.54563,2.84166,1.551,1.548,998.5,0.35417,0.06802
1789866045.127,25,5.20803,0.55061,2.86759,1.551,1.548,998.5,0.38285,0.07353
1789866045.137,26,5.20803,0.54912,2.85983,1.551,1.548,998.5,0.41146,0.07902
1789866045.147,27,5.20803,0.54912,2.85983,1.550,1.548,998.5,0.44007,0.08451
1789866045.157,28,5.20803,0.53965,2.81051,1.550,1.548,998.5,0.46801,0.08988
1789866045.167,29,5.20803,0.54339,2.82999,1.550,1.548,998.5,0.49614,0.09528
1789866045.177,30,5.21804,0.54289,2.83282,1.550,1.548,998.5,0.52430,0.10068
1789866045.186,31,5.20831,0.54463,2.83660,1.550,1.548,998.5,0.55250,0.10609
1789866045.196,32,5.20831,0.54812,2.85478,1.550,1.548,998.5,0.58107,0.11158
1789866045.207,33,5.20831,0.54538,2.84051,1.550,1.548,998.5,0.60950,0.11704
1789866045.217,34,5.20831,0.53990,2.81197,1.550,1.548,998.5,0.63765,0.12244
1789866045.227,35,5.20831,0.54463,2.83660,1.551,1.548,998.5,0.66604,0.12789
1789866045.237,36,5.20831,0.54189,2.82233,1.551,1.548,998.5,0.69430,0.13332
1789866045.247,37,5.20831,0.54065,2.81587,1.551,1.548,998.5,0.72249,0.13873
1789866045.257,38,5.20831,0.54812,2.85478,1.550,1.548,998.5,0.75107,0.14422
1789866045.267,39,5.20831,0.54513,2.83921,1.550,1.548,998.5,0.77950,0.14968
1789866045.277,40,5.20831,0.54787,2.85348,1.550,1.548,998.5,0.80804,0.15516
1789866045.287,41,5.20987,0.58051,3.02438,1.550,1.548,998.5,0.83829,0.16096
1789866045.297,42,5.20987,0.54588,2.84396,1.550,1.548,998.5,0.86674,0.16642
1789866045.307,43,5.20987,0.55111,2.87121,1.550,1.548,998.5,0.89545,0.17193
1789866045.317,44,5.20987,0.54164,2.82187,1.550,1.548,998.5,0.92360,0.17734
1789866045.327,45,5.20987,0.54140,2.82062,1.550,1.548,998.5,0.95174,0.18274
1789866045.337,46,5.20987,0.54339,2.83099,1.550,1.548,998.5,0.97998,0.18816
1789866045.346,47,5.20987,0.54264,2.82708,1.550,1.548,998.5,1.00818,0.19357
1789866045.356,48,5.20987,0.53890,2.80760,1.550,1.548,998.5,1.03628,0.19896
1789866045.367,49,5.20987,0.54862,2.85824,1.550,1.547,998.5,1.06489,0.20446
1789866045.377,50,5.20987,0.54264,2.82708,1.550,1.548,998.5,1.09319,0.20989
1789866045.387,51,5.21081,0.54837,2.85745,1.551,1.548,998.5,1.12180,0.21538
1789866045.397,52,5.21081,0.54762,2.85354,1.550,1.548,998.5,1.15035,0.22086
1789866045.407,53,5.21081,0.54339,2.83150,1.550,1.548,998.5,1.17867,0.22629
1789866045.417,54,5.21081,0.54737,2.85224,1.550,1.548,998.5,1.20721,0.23177
1789866045.427,55,5.21081,0.54065,2.81722,1.551,1.548,998.5,1.23540,0.23718
1789866045.437,56,5.21081,0.54065,2.81722,1.550,1.548,998.5,1.26354,0.24258
1789866045.447,57,5.21081,0.53915,2.80941,1.550,1.547,998.5,1.29161,0.24797
1789866045.457,58,5.21081,0.54937,2.86266,1.550,1.548,998.5,1.32020,0.25345
1789866045.467,59,5.21081,0.54364,2.83280,1.550,1.548,998.5,1.34850,0.25888
1789866045.476,60,5.21081,0.54762,2.85354,1.551,1.548,998.5,1.37701,0.26436
1789866045.486,61,5.21053,0.54937,2.86251,1.550,1.548,998.5,1.40562,0.26985
1789866045.496,62,5.21053,0.54812,2.85600,1.550,1.548,998.5,1.43415,0.27532
1789866045.506,63,5.21053,0.54887,2.85990,1.550,1.548,998.5,1.46273,0.28081
1789866045.516,64,5.21053,0.54962,2.86381,1.550,1.547,998.5,1.49146,0.28632
1789866045.527,65,5.21053,0.54488,2.83911,1.550,1.548,998.5,1.51994,0.29179
1789866045.537,66,5.21053,0.54463,2.83781,1.550,1.548,998.5,1.54841,0.29725
1789866045.547,67,5.21053,0.54937,2.86251,1.550,1.548,998.5,1.57713,0.30276
1789866045.557,68,5.21053,0.53841,2.80540,1.550,1.548,998.5,1.60516,0.30814
1789866045.567,69,5.21053,0.54513,2.84042,1.551,1.548,998.5,1.63353,0.31359
1789866045.577,70,5.21053,0.56331,2.93514,1.551,1.548,998.5,1.66286,0.31922
1789866045.587,71,5.21190,0.53890,2.80869,1.551,1.548,998.5,1.69092,0.32460
