t_mac,sample_idx,voltage_V,current_A,power_W,dp_V,dn_V,temp_C,energy_J,charge_C
1789867294.334,0,5.19366,0.67818,3.52224,1.552,1.549,1049.7,0.00005,0.00001
1789867294.334,1,5.19366,0.63908,3.31916,1.552,1.548,1049.7,0.00009,0.00002
1789867294.334,2,5.19366,0.68939,3.58046,1.552,1.548,1049.7,0.00014,0.00003
1789867294.334,3,5.20327,0.54613,2.84166,1.649,1.642,921.7,0.00018,0.00003
1789867294.334,4,5.21679,0.55111,2.87503,1.649,1.643,921.7,0.00044,0.00008
1789867294.334,5,5.21804,0.54439,2.84065,1.649,1.643,921.7,0.00069,0.00013
1789867294.335,6,5.21429,0.53865,2.80868,1.649,1.643,921.7,0.00095,0.00018
1789867294.335,7,5.21429,0.53890,2.80998,1.649,1.643,921.7,0.00120,0.00023
1789867294.335,8,5.21929,0.54737,2.85688,1.649,1.643,921.7,0.00129,0.00025
1789867294.335,9,5.21679,0.54737,2.85551,1.650,1.643,921.7,0.00138,0.00026
1789867294.335,10,5.21679,0.54289,2.83214,1.649,1.643,921.7,0.00147,0.00028
1789867294.335,11,5.21679,0.55086,2.87372,1.649,1.643,921.7,0.00156,0.00030
1789867294.341,12,5.18055,0.66896,3.46558,1.647,1.642,921.7,0.02156,0.00416
1789867294.346,13,5.21804,0.54140,2.82505,1.648,1.642,921.7,0.03786,0.00728
1789867294.352,14,5.21554,0.54563,2.84576,1.648,1.642,921.7,0.05429,0.01043
1789867294.358,15,5.21804,0.54339,2.83543,1.648,1.642,921.7,0.07065,0.01357
1789867294.368,16,5.21679,0.54762,2.85682,1.648,1.642,921.7,0.09909,0.01902
1789867294.378,17,5.21679,0.54389,2.83736,1.648,1.642,921.7,0.12734,0.02444
1789867294.388,18,5.21929,0.54164,2.82698,1.650,1.643,921.7,0.15549,0.02983
1789867294.398,19,5.20432,0.53791,2.79946,1.650,1.643,921.7,0.18336,0.03518
