t_mac,sample_idx,voltage_V,current_A,power_W,dp_V,dn_V,temp_C,energy_J,charge_C
1789867505.363,0,5.19680,0.63607,3.30553,1.550,1.548,1024.1,0.00004,0.00001
1789867505.363,1,5.15931,0.70783,3.65191,1.550,1.548,1024.1,0.00008,0.00001
1789867505.363,2,5.15681,0.78083,4.02659,1.550,1.548,1024.1,0.00012,0.00002
1789867505.363,3,5.18480,0.76065,3.94382,1.550,1.548,1024.1,0.00016,0.00003
1789867505.363,4,5.23678,0.47313,2.47768,1.551,1.548,1024.1,0.00034,0.00007
1789867505.363,5,5.23678,0.46142,2.41636,1.551,1.548,1024.1,0.00052,0.00010
1789867505.363,6,5.23428,0.45644,2.38913,1.551,1.548,1024.1,0.00069,0.00013
1789867505.363,7,5.23303,0.45693,2.39113,1.551,1.548,1024.1,0.00086,0.00017
1789867505.363,8,5.23803,0.45345,2.37518,1.552,1.548,1024.1,0.00091,0.00017
1789867505.363,9,5.23803,0.45394,2.37775,1.551,1.548,1024.1,0.00095,0.00018
1789867505.363,10,5.23428,0.45320,2.37218,1.551,1.548,1024.1,0.00100,0.00019
1789867505.363,11,5.23553,0.45569,2.38578,1.551,1.548,1024.1,0.00105,0.00020
1789867505.367,12,5.23553,0.45369,2.37531,1.551,1.548,1024.1,0.01012,0.00193
1789867505.371,13,5.23428,0.44821,2.34606,1.551,1.548,1024.1,0.01908,0.00364
1789867505.375,14,5.23553,0.45295,2.37143,1.550,1.547,1024.1,0.02814,0.00537
1789867505.379,15,5.23928,0.46441,2.43317,1.550,1.548,998.5,0.03743,0.00715
1789867505.389,16,5.23303,0.46092,2.41201,1.550,1.548,1024.1,0.06149,0.01175
1789867505.399,17,5.23303,0.45668,2.38982,1.550,1.548,1024.1,0.08534,0.01630
1789867505.409,18,5.23553,0.45394,2.37662,1.550,1.548,1024.1,0.10905,0.02083
1789867505.419,19,5.23803,0.45245,2.36995,1.550,1.548,1024.1,0.13269,0.02535
1789867505.429,20,5.23678,0.45369,2.37587,1.550,1.548,1024.1,0.15643,0.02988
1789867505.439,21,5.23678,0.45918,2.40462,1.551,1.548,1024.1,0.18046,0.03447
1789867505.449,22,5.23803,0.45345,2.37518,1.551,1.548,1024.1,0.20419,0.03900
1789867505.459,23,5.23553,0.44747,2.34274,1.551,1.548,1024.1,0.22759,0.04347
1789867505.469,24,5.23303,0.47039,2.46156,1.551,1.548,1024.1,0.25215,0.04816
1789867505.479,25,5.22084,0.50676,2.64571,1.551,1.548,1024.1,0.27854,0.05322
