t_mac,event_idx,image_id,true_class,true_class_id,patch_contrast,duration_ms,is_target
1789870013.779,0,NONE,NONE,-1,0.150,200,0
1789870021.091,1,banana_47701.jpg,banana,955,0.800,4000,1
1789870042.400,2,NONE,NONE,-1,0.150,200,0
1789870042.619,3,lemon_47551.jpg,lemon,952,0.800,4000,0
1789870050.595,4,NONE,NONE,-1,0.150,200,0
1789870051.426,5,butternut_squash_47101.jpg,butternut squash,943,0.800,4000,0
1789870073.650,6,NONE,NONE,-1,0.150,200,0
1789870083.415,7,coffee_mug_25200.jpg,coffee mug,505,0.800,4000,0
1789870126.055,8,NONE,NONE,-1,0.150,200,0
1789870127.964,9,banana_47746.jpg,banana,955,0.800,4000,1
1789870146.941,10,NONE,NONE,-1,0.150,200,0
1789870147.201,11,pineapple_47658.jpg,pineapple,954,0.800,4000,0
