t_pi,event_idx,arduino_t_ms,peak,evt_duration_ms,state_at_evt,capture_ms,infer_ms,latency_ms,class_id,class_name,confidence,top5,fired
1789870001.619,0,4167842,552,10,awake,0.0,0.0,108.2,955,banana,0.870,,1
1789870009.221,1,4175446,565,11,awake,0.0,0.0,106.9,955,banana,0.870,,1
1789870920.873,2,5087282,529,10,awake,0.0,0.0,106.4,955,banana,0.870,,1
1789871039.650,3,5206063,567,10,awake,0.0,0.0,105.8,955,banana,0.870,,1
1789871046.905,4,5213335,572,10,awake,0.0,0.0,106.0,955,banana,0.870,,1
1789871048.330,5,5214751,571,10,awake,0.0,0.0,105.3,955,banana,0.870,,1
1789871063.036,6,5229472,573,10,awake,0.0,0.0,107.9,955,banana,0.870,,1
1789871084.568,7,5251009,574,10,awake,0.0,0.0,107.6,955,banana,0.870,,1
1789871093.384,8,5259826,574,10,awake,0.0,0.0,107.8,955,banana,0.870,,1
1789871127.413,9,5285713,576,10,awake,0.0,0.0,106.8,955,banana,0.870,,1
1789871140.797,10,5307249,578,10,awake,0.0,0.0,111.0,955,banana,0.870,,1
1789871149.597,11,5316050,580,10,awake,0.0,0.0,110.9,955,banana,0.870,,1
1789871181.610,12,5348071,575,10,awake,0.0,0.0,105.2,955,banana,0.870,,1
1789871275.139,13,5356675,575,10,awake,0.0,0.0,104.6,955,banana,0.870,,1
1789871321.535,14,5488022,576,10,awake,0.0,0.0,104.9,955,banana,0.870,,1
1789871343.066,15,5509558,573,10,awake,0.0,0.0,105.4,955,banana,0.870,,1
1789871351.882,16,5518375,573,10,awake,0.0,0.0,105.9,955,banana,0.870,,1
1789871383.877,17,5550379,572,10,awake,0.0,0.0,106.5,955,banana,0.870,,1
1789871410.556,18,5577060,572,10,awake,0.0,0.0,107.1,955,banana,0.870,,1
