t_mac,sample_idx,voltage_V,current_A,power_W,dp_V,dn_V,temp_C,energy_J,charge_C
1788633498.336,0,5.10492,0.47555,2.42764,0.000,0.000,31.0,0.02428,0.00476
1788633498.346,1,5.10537,0.48602,2.48130,0.000,0.000,31.0,0.04909,0.00962
1788633498.356,2,5.09453,0.47215,2.40540,0.000,0.000,31.0,0.07314,0.01434
1788633498.366,3,5.09988,0.48223,2.45933,0.000,0.000,31.0,0.09774,0.01916
1788633498.376,4,5.09306,0.49136,2.50253,0.000,0.000,31.0,0.12276,0.02407
1788633498.386,5,5.11097,0.48908,2.49965,0.000,0.000,31.0,0.14776,0.02896
1788633498.396,6,5.09902,0.50806,2.59062,0.000,0.000,31.0,0.17366,0.03404
1788633498.406,7,5.09752,0.49734,2.53520,0.000,0.000,31.0,0.19902,0.03902
1788633498.416,8,5.08938,0.48856,2.48647,0.000,0.000,31.0,0.22388,0.04390
1788633498.426,9,5.09483,0.48622,2.47722,0.000,0.000,31.0,0.24865,0.04877
1788633498.436,10,5.10316,0.49833,2.54303,0.000,0.000,31.0,0.27408,0.05375
1788633498.446,11,5.09291,0.47424,2.41525,0.000,0.000,31.0,0.29824,0.05849
1788633498.456,12,5.09881,0.50123,2.55568,0.000,0.000,31.0,0.32379,0.06350
1788633498.466,13,5.09709,0.49553,2.52574,0.000,0.000,31.0,0.34905,0.06846
1788633498.476,14,5.09407,0.49496,2.52138,0.000,0.000,31.0,0.37426,0.07341
1788633498.486,15,5.10070,0.50570,2.57944,0.000,0.000,31.0,0.40006,0.07847
1788633498.496,16,5.10554,0.47495,2.42490,0.000,0.000,31.0,0.42431,0.08322
1788633498.506,17,5.09979,0.48999,2.49882,0.000,0.000,31.0,0.44930,0.08812
1788633498.516,18,5.10041,0.47046,2.39953,0.000,0.000,31.0,0.47329,0.09282
1788633498.526,19,5.10443,0.49010,2.50170,0.000,0.000,31.0,0.49831,0.09772
1788633498.536,20,5.09763,0.49481,2.52236,0.000,0.000,31.0,0.52353,0.10267
1788633498.546,21,5.09848,0.48374,2.46635,0.000,0.000,31.0,0.54820,0.10751
1788633498.556,22,5.09817,0.50769,2.58828,0.000,0.000,31.0,0.57408,0.11258
1788633498.566,23,5.10066,0.48633,2.48061,0.000,0.000,31.0,0.59888,0.11745
1788633498.576,24,5.10539,0.48471,2.47463,0.000,0.000,31.0,0.62363,0.12229
1788633498.586,25,5.09902,0.49459,2.52192,0.000,0.000,31.0,0.64885,0.12724
1788633498.596,26,5.09752,0.47586,2.42573,0.000,0.000,31.0,0.67311,0.13200
1788633498.606,27,5.09730,0.47324,2.41227,0.000,0.000,31.0,0.69723,0.13673
1788633498.616,28,5.09677,0.46603,2.37527,0.000,0.000,31.0,0.72098,0.14139
1788633498.626,29,5.09598,0.48017,2.44695,0.000,0.000,31.0,0.74545,0.14619
1788633498.636,30,5.10228,0.47756,2.43664,0.000,0.000,31.0,0.76982,0.15097
1788633498.646,31,5.10433,0.48016,2.45092,0.000,0.000,31.0,0.79433,0.15577
1788633498.656,32,5.10314,0.48830,2.49188,0.000,0.000,31.0,0.81925,0.16065
1788633498.666,33,5.10635,0.49481,2.52666,0.000,0.000,31.0,0.84451,0.16560
1788633498.676,34,5.09526,0.48447,2.46852,0.000,0.000,31.0,0.86920,0.17045
1788633498.686,35,5.10450,0.50370,2.57112,0.000,0.000,31.0,0.89491,0.17548
1788633498.696,36,5.09208,0.50687,2.58103,0.000,0.000,31.0,0.92072,0.18055
1788633498.706,37,5.09107,0.50258,2.55865,0.000,0.000,31.0,0.94631,0.18558
1788633498.716,38,5.09710,0.50131,2.55522,0.000,0.000,31.0,0.97186,0.19059
1788633498.726,39,5.10493,0.47785,2.43937,0.000,0.000,31.0,0.99625,0.19537
1788633498.736,40,5.10902,0.48646,2.48535,0.000,0.000,31.0,1.02111,0.20023
1788633498.746,41,5.09139,0.50323,2.56212,0.000,0.000,31.0,1.04673,0.20527
1788633498.756,42,5.09346,0.47054,2.39666,0.000,0.000,31.0,1.07069,0.20997
1788633498.766,43,5.09737,0.48103,2.45200,0.000,0.000,31.0,1.09521,0.21478
1788633498.776,44,5.08587,0.47399,2.41065,0.000,0.000,31.0,1.11932,0.21952
1788633498.786,45,5.09557,0.50573,2.57697,0.000,0.000,31.0,1.14509,0.22458
1788633498.796,46,5.10341,0.50160,2.55985,0.000,0.000,31.0,1.17069,0.22959
1788633498.806,47,5.10060,0.47636,2.42973,0.000,0.000,31.0,1.19499,0.23436
1788633498.816,48,5.09692,0.49461,2.52099,0.000,0.000,31.0,1.22020,0.23930
1788633498.826,49,5.09752,0.48987,2.49710,0.000,0.000,31.0,1.24517,0.24420
1788633498.836,50,5.10874,0.49257,2.51642,0.000,0.000,31.0,1.27033,0.24913
1788633498.846,51,5.10799,0.48050,2.45441,0.000,0.000,31.0,1.29487,0.25393
1788633498.856,52,5.10166,0.49448,2.52269,0.000,0.000,31.0,1.32010,0.25888
1788633498.866,53,5.09856,0.48937,2.49509,0.000,0.000,31.0,1.34505,0.26377
1788633498.876,54,5.09509,0.47141,2.40188,0.000,0.000,31.0,1.36907,0.26849
1788633498.886,55,5.09839,0.47588,2.42620,0.000,0.000,31.0,1.39333,0.27324
1788633498.896,56,5.10119,0.50380,2.56999,0.000,0.000,31.0,1.41903,0.27828
1788633498.906,57,5.09594,0.48050,2.44859,0.000,0.000,31.0,1.44352,0.28309
1788633498.916,58,5.10304,0.48260,2.46273,0.000,0.000,31.0,1.46815,0.28791
1788633498.926,59,5.09983,0.49286,2.51351,0.000,0.000,31.0,1.49328,0.29284
1788633498.936,60,5.10173,0.51477,2.62620,0.000,0.000,31.0,1.51954,0.29799
1788633498.946,61,5.10236,0.49197,2.51022,0.000,0.000,31.0,1.54465,0.30291
1788633498.956,62,5.10871,0.49367,2.52202,0.000,0.000,31.0,1.56987,0.30785
1788633498.966,63,5.09959,0.49218,2.50990,0.000,0.000,31.0,1.59497,0.31277
1788633498.976,64,5.10104,0.48605,2.47935,0.000,0.000,31.0,1.61976,0.31763
