t_mac,sample_idx,voltage_V,current_A,power_W,dp_V,dn_V,temp_C,energy_J,charge_C
1789864040.934,0,5.33275,0.03160,0.16851,3.299,3.299,844.9,0.00000,0.00000
1789864040.934,1,5.33275,0.03160,0.16851,3.299,3.299,844.9,0.00000,0.00000
1789864040.934,2,5.33275,0.03160,0.16851,3.299,3.299,844.9,0.00000,0.00000
1789864040.934,3,5.33275,0.03160,0.16851,3.299,3.299,844.9,0.00000,0.00000
1789864040.934,4,5.33263,0.03170,0.16904,3.295,3.297,844.9,0.00001,0.00000
1789864040.934,5,5.33263,0.03170,0.16904,3.296,3.297,844.9,0.00001,0.00000
1789864040.934,6,5.33263,0.03170,0.16904,3.296,3.297,844.9,0.00001,0.00000
1789864040.934,7,5.33263,0.03170,0.16904,3.296,3.297,844.9,0.00002,0.00000
1789864040.934,8,5.33263,0.03170,0.16904,3.298,3.298,844.9,0.00002,0.00000
1789864040.934,9,5.33263,0.03170,0.16904,3.298,3.298,844.9,0.00002,0.00000
1789864040.934,10,5.33255,0.03169,0.16899,3.299,3.299,844.9,0.00002,0.00000
1789864040.934,11,5.33255,0.03169,0.16899,3.299,3.299,844.9,0.00002,0.00000
1789864040.938,12,5.33255,0.03169,0.16899,3.299,3.299,844.9,0.00077,0.00014
1789864040.943,13,5.33255,0.03169,0.16899,3.299,3.299,844.9,0.00151,0.00028
1789864040.947,14,5.33255,0.03169,0.16899,3.299,3.299,844.9,0.00226,0.00042
1789864040.952,15,5.33255,0.03169,0.16899,3.299,3.299,844.9,0.00300,0.00056
1789864040.962,16,5.33255,0.03169,0.16899,3.299,3.299,844.9,0.00469,0.00088
1789864040.972,17,5.33255,0.03169,0.16899,3.299,3.299,844.9,0.00637,0.00119
1789864040.982,18,5.33255,0.03169,0.16899,3.299,3.299,844.9,0.00806,0.00151
1789864040.992,19,5.33255,0.03169,0.16899,3.299,3.299,844.9,0.00974,0.00183
1789864041.002,20,5.33259,0.03168,0.16894,3.299,3.299,844.9,0.01143,0.00214
1789864041.012,21,5.33259,0.03168,0.16894,3.299,3.299,844.9,0.01312,0.00246
1789864041.022,22,5.33259,0.03168,0.16894,3.297,3.298,844.9,0.01481,0.00278
1789864041.032,23,5.33259,0.03168,0.16894,3.296,3.296,844.9,0.01650,0.00309
1789864041.042,24,5.33259,0.03168,0.16894,3.296,3.296,844.9,0.01819,0.00341
1789864041.052,25,5.33259,0.03168,0.16894,3.296,3.296,844.9,0.01988,0.00373
1789864041.062,26,5.33259,0.03168,0.16894,3.296,3.296,844.9,0.02157,0.00404
1789864041.072,27,5.33259,0.03168,0.16894,3.295,3.295,844.9,0.02326,0.00436
1789864041.082,28,5.33259,0.03168,0.16894,3.293,3.293,844.9,0.02495,0.00468
1789864041.092,29,5.33259,0.03168,0.16894,3.293,3.293,844.9,0.02664,0.00500
1789864041.102,30,5.33259,0.03168,0.16894,3.293,3.293,844.9,0.02833,0.00531
1789864041.112,31,5.33259,0.03168,0.16894,3.292,3.292,844.9,0.03003,0.00563
1789864041.122,32,5.33259,0.03168,0.16894,3.291,3.292,844.9,0.03172,0.00595
1789864041.132,33,5.33259,0.03168,0.16894,3.293,3.293,844.9,0.03341,0.00627
1789864041.142,34,5.33259,0.03168,0.16894,3.296,3.296,844.9,0.03510,0.00658
1789864041.152,35,5.33259,0.03168,0.16894,3.297,3.297,844.9,0.03679,0.00690
1789864041.162,36,5.33259,0.03168,0.16894,3.298,3.298,844.9,0.03849,0.00722
1789864041.172,37,5.33259,0.03168,0.16894,3.298,3.299,844.9,0.04018,0.00753
1789864041.182,38,5.33259,0.03168,0.16894,3.299,3.299,844.9,0.04187,0.00785
1789864041.192,39,5.33259,0.03168,0.16894,3.299,3.299,844.9,0.04357,0.00817
1789864041.202,40,5.33267,0.03169,0.16899,3.299,3.299,844.9,0.04525,0.00849
1789864041.212,41,5.33267,0.03169,0.16899,3.299,3.299,844.9,0.04694,0.00880
1789864041.222,42,5.33267,0.03169,0.16899,3.299,3.299,844.9,0.04862,0.00912
1789864041.232,43,5.33267,0.03169,0.16899,3.298,3.299,844.9,0.05031,0.00943
1789864041.242,44,5.33267,0.03169,0.16899,3.297,3.298,844.9,0.05199,0.00975
1789864041.252,45,5.33267,0.03169,0.16899,3.296,3.298,844.9,0.05368,0.01007
1789864041.262,46,5.33267,0.03169,0.16899,3.296,3.298,844.9,0.05536,0.01038
1789864041.272,47,5.33267,0.03169,0.16899,3.296,3.298,844.9,0.05705,0.01070
1789864041.282,48,5.33267,0.03169,0.16899,3.296,3.298,844.9,0.05874,0.01102
1789864041.292,49,5.33267,0.03169,0.16899,3.298,3.298,844.9,0.06043,0.01133
1789864041.302,50,5.33267,0.03169,0.16899,3.298,3.299,844.9,0.06212,0.01165
1789864041.312,51,5.33267,0.03169,0.16899,3.299,3.299,844.9,0.06381,0.01197
1789864041.322,52,5.33267,0.03169,0.16899,3.299,3.299,844.9,0.06552,0.01229
1789864041.332,53,5.33267,0.03169,0.16899,3.299,3.299,844.9,0.06722,0.01261
1789864041.342,54,5.33267,0.03169,0.16899,3.299,3.299,844.9,0.06892,0.01292
1789864041.352,55,5.33267,0.03169,0.16899,3.299,3.299,844.9,0.07063,0.01324
1789864041.362,56,5.33267,0.03169,0.16899,3.299,3.299,844.9,0.07231,0.01356
1789864041.372,57,5.33267,0.03169,0.16899,3.299,3.299,844.9,0.07399,0.01388
