t_mac,sample_idx,voltage_V,current_A,power_W,dp_V,dn_V,temp_C,energy_J,charge_C
1789864283.276,0,5.33603,0.01677,0.08949,3.298,3.298,947.3,0.00000,0.00000
1789864283.276,1,5.33603,0.01677,0.08949,3.298,3.298,947.3,0.00000,0.00000
1789864283.276,2,5.33603,0.01677,0.08949,3.297,3.298,947.3,0.00000,0.00000
1789864283.276,3,5.33614,0.01678,0.08954,3.298,3.298,947.3,0.00000,0.00000
1789864283.276,4,5.33614,0.01678,0.08954,3.299,3.298,947.3,0.00000,0.00000
1789864283.276,5,5.33614,0.01678,0.08954,3.297,3.297,947.3,0.00001,0.00000
1789864283.276,6,5.33614,0.01678,0.08954,3.294,3.295,947.3,0.00001,0.00000
1789864283.276,7,5.33614,0.01678,0.08954,3.294,3.294,947.3,0.00001,0.00000
1789864283.276,8,5.33614,0.01678,0.08954,3.294,3.294,947.3,0.00001,0.00000
1789864283.276,9,5.33614,0.01678,0.08954,3.294,3.294,947.3,0.00001,0.00000
1789864283.276,10,5.33614,0.01678,0.08954,3.294,3.294,947.3,0.00001,0.00000
1789864283.276,11,5.33614,0.01678,0.08954,3.292,3.292,947.3,0.00001,0.00000
1789864283.284,12,5.33614,0.01678,0.08954,3.292,3.292,947.3,0.00072,0.00014
1789864283.292,13,5.33607,0.01677,0.08949,3.291,3.291,947.3,0.00143,0.00027
1789864283.300,14,5.33607,0.01677,0.08949,3.291,3.291,947.3,0.00215,0.00040
1789864283.308,15,5.33607,0.01677,0.08949,3.290,3.290,947.3,0.00286,0.00054
1789864283.318,16,5.33607,0.01677,0.08949,3.289,3.289,947.3,0.00375,0.00070
1789864283.328,17,5.33607,0.01677,0.08949,3.292,3.291,947.3,0.00464,0.00087
1789864283.338,18,5.33607,0.01677,0.08949,3.294,3.294,947.3,0.00554,0.00104
1789864283.348,19,5.33607,0.01677,0.08949,3.293,3.293,947.3,0.00643,0.00120
1789864283.358,20,5.33607,0.01677,0.08949,3.293,3.293,947.3,0.00732,0.00137
1789864283.368,21,5.33607,0.01677,0.08949,3.294,3.294,947.3,0.00822,0.00154
1789864283.378,22,5.33607,0.01677,0.08949,3.294,3.294,947.3,0.00911,0.00171
1789864283.388,23,5.33607,0.01677,0.08949,3.295,3.294,947.3,0.01001,0.00187
1789864283.398,24,5.33607,0.01677,0.08949,3.295,3.295,947.3,0.01090,0.00204
1789864283.408,25,5.33607,0.01677,0.08949,3.296,3.296,947.3,0.01180,0.00221
1789864283.418,26,5.33607,0.01677,0.08949,3.297,3.297,947.3,0.01269,0.00238
1789864283.428,27,5.33607,0.01677,0.08949,3.297,3.297,947.3,0.01359,0.00255
1789864283.438,28,5.33607,0.01677,0.08949,3.297,3.297,947.3,0.01448,0.00271
1789864283.448,29,5.33607,0.01677,0.08949,3.296,3.296,947.3,0.01538,0.00288
1789864283.458,30,5.33607,0.01677,0.08949,3.297,3.297,947.3,0.01627,0.00305
1789864283.468,31,5.33607,0.01677,0.08949,3.296,3.296,947.3,0.01717,0.00322
